"Story","Title","Result","Date","Stability","Duration (s)"
"Booking functionality","Admin should be able to generate a new auth token successfully by entering the","SUCCESS","2022-01-26T21:30:33.887Z[Europe/London]","0.0","15.28"
"Booking functionality","User should be able to perform CRUD operations successfully by entering valid details","SUCCESS","2022-01-26T21:30:52.981Z[Europe/London]","0.0","4.94"
